Koordinatat e Katit 1 të ekzekutuar;;;;;;
Nr;Y;X;H;Kodi;Përshkrimi;Burimi
1;7511864.345;4693294.974;630.709;Kati 1;Shtëpi-Ndërtesë;PM
2;7511863.164;4693298.268;630.705;Kati 1;Shtëpi-Ndërtesë;PM
3;7511857.278;4693299.417;630.739;Kati 1;Shtëpi-Ndërtesë;PM
4;7511857.085;4693299.506;630.739;Kati 1;Shtëpi-Ndërtesë;PM
5;7511851.450;4693303.886;630.706;Kati 1;Shtëpi-Ndërtesë;PM
6;7511839.448;4693308.124;630.728;Kati 1;Shtëpi-Ndërtesë;PM
7;7511837.233;4693307.332;630.716;Kati 1;Shtëpi-Ndërtesë;PM
8;7511830.948;4693296.664;630.702;Kati 1;Shtëpi-Ndërtesë;PM
9;7511828.345;4693289.245;630.714;Kati 1;Shtëpi-Ndërtesë;PM
10;7511855.409;4693276.314;630.694;Kati 1;Shtëpi-Ndërtesë;PM
12;7511856.555;4693278.611;630.699;Kati 1;Shtëpi-Ndërtesë;PM
13;7511861.643;4693274.554;630.989;Kati 1;Shtëpi-Ndërtesë;PM
14;7511850.991;4693252.321;630.999;Kati 1;Shtëpi-Ndërtesë;PM
15;7511842.279;4693256.537;630.787;Kati 1;Shtëpi-Ndërtesë;PM
16;7511842.859;4693257.778;630.800;Kati 1;Shtëpi-Ndërtesë;PM
17;7511831.782;4693263.078;630.744;Kati 1;Shtëpi-Ndërtesë;PM
18;7511832.373;4693264.223;630.777;Kati 1;Shtëpi-Ndërtesë;PM
19;7511820.608;4693269.882;630.756;Kati 1;Shtëpi-Ndërtesë;PM
20;7511819.489;4693272.904;630.759;Kati 1;Shtëpi-Ndërtesë;PM
21;7511824.526;4693285.198;630.787;Kati 1;Shtëpi-Ndërtesë;PM
