Koordinatat e Katit 2 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511864.360,4693294.961,635.196,Kati 2,Shtëpi-Ndërtesë,PM
2,7511863.189,4693298.291,635.169,Kati 2,Shtëpi-Ndërtesë,PM
3,7511857.296,4693299.421,635.212,Kati 2,Shtëpi-Ndërtesë,PM
4,7511857.094,4693299.531,635.211,Kati 2,Shtëpi-Ndërtesë,PM
5,7511851.475,4693303.903,635.160,Kati 2,Shtëpi-Ndërtesë,PM
6,7511839.459,4693308.135,635.197,Kati 2,Shtëpi-Ndërtesë,PM
7,7511837.206,4693307.327,635.196,Kati 2,Shtëpi-Ndërtesë,PM
8,7511830.925,4693296.544,635.184,Kati 2,Shtëpi-Ndërtesë,PM
9,7511828.362,4693289.283,635.288,Kati 2,Shtëpi-Ndërtesë,PM
10,7511855.422,4693276.329,635.542,Kati 2,Shtëpi-Ndërtesë,PM
12,7511856.563,4693278.627,635.809,Kati 2,Shtëpi-Ndërtesë,PM
13,7511861.636,4693274.542,635.466,Kati 2,Shtëpi-Ndërtesë,PM
14,7511851.011,4693252.369,635.468,Kati 2,Shtëpi-Ndërtesë,PM
15,7511842.234,4693256.533,635.485,Kati 2,Shtëpi-Ndërtesë,PM
16,7511842.862,4693257.801,635.476,Kati 2,Shtëpi-Ndërtesë,PM
17,7511831.804,4693263.074,635.487,Kati 2,Shtëpi-Ndërtesë,PM
18,7511832.342,4693264.244,635.277,Kati 2,Shtëpi-Ndërtesë,PM
19,7511820.617,4693269.895,635.466,Kati 2,Shtëpi-Ndërtesë,PM
20,7511819.531,4693272.914,635.207,Kati 2,Shtëpi-Ndërtesë,PM
21,7511824.523,4693285.205,635.820,Kati 2,Shtëpi-Ndërtesë,PM
